Player,College,DraftYear,Classification
Darrell Arthur,Kansas,2008,O
Brandon Armstrong,Pepperdine,2001,O
Tony Allen,Oklahoma State,2004,D
Shane Battier,Duke,2001,D
Desmond Mason,Oklahoma State,2000,O
O.J. Mayo,USC,2008,O
Qyntel Woods,Northeast Mississippi Community College,2002,O
Andre Iguodala,Arizona,2004,D
D.J. White,Indiana,2008,O
Kareem Rush,Missouri,2002,O
Ryan Humphrey,Notre Dame,2002,D
Jordan Farmar,UCLA,2006,O
Raymond Felton,UNC,2005,D
Ronnie Brewer,Arkansas,2006,D
DeShawn Stevenson,,2000,D
Erick Barkley,St. John's,2000,D
Kenyon Martin,Cincinnati,2000,D
Oleksiy Pecherov,,2006,O
Randy Foye,Villanova,2006,O
Julian Wright,Kansas,2007,O
Luke Ridnour,Oregon,2003,O
Deron Williams,Illinois,2005,O
Melvin Ely,Fresno State,2002,D
Stephen Curry,Davidson,2009,O
Mike Conley,Ohio State,2007,D
Derrick Rose,Memphis,2008,O
Blake Griffin,Oklahoma,2009,O
Al Jefferson,,2004,D
Martell Webster,,2005,O
Antoine Wright,Texas A&M,2005,D
Carmelo Anthony,Syracuse,2003,O
Sean Williams,Boston College,2007,D
Thabo Sefolosha,,2006,D
Delonte West,Saint Joseph's,2004,O
Jake Tsakalidis,,2000,D
Jiří Welsch,,2002,D
Quincy Douby,Rutgers University,2006,O
DeSagana Diop,,2001,D
Earl Clark,Louisville,2009,D
Luther Head,Illinois,2005,D
J.R. Smith,,2004,O
Chris Kaman,Central Michigan University,2003,O
Eddy Curry,,2001,O
Donte Greene,Syracuse,2008,O
Marcus Haislip,Tennessee,2002,D
Curtis Borchardt,Stanford,2002,D
Casey Jacobsen,Stanford,2002,O
Danny Granger,New Mexico,2005,D
Ian Mahinmi,,2005,D
Jason Smith,Colorado State,2007,O
